id,date,time

1,2023-10-06,14:51

2,2023-10-06,3:39

3,2023-10-06,4:25

4,2023-10-06,13:45

5,2023-10-06,11:57

6,2023-10-06,9:27

7,2023-10-06,17:13

8,2023-10-06,13:3

9,2023-10-06,14:27

10,2023-10-06,1:18

11,2023-10-06,0:2

12,2023-10-06,7:50

13,2023-10-06,4:39

14,2023-10-06,13:2

15,2023-10-06,9:18

16,2023-10-06,19:1

17,2023-10-06,14:14

18,2023-10-06,21:13

19,2023-10-06,0:37

20,2023-10-06,6:38

21,2023-10-06,20:12

22,2023-10-06,11:32

23,2023-10-06,10:25

24,2023-10-06,2:36

25,2023-10-06,13:14

26,2023-10-06,22:36

27,2023-10-06,21:58

28,2023-10-06,13:59

29,2023-10-06,8:38

30,2023-10-06,20:44

31,2023-10-06,20:37

32,2023-10-06,6:59

33,2023-10-06,5:47

34,2023-10-06,17:24

35,2023-10-06,21:6

36,2023-10-06,16:9

37,2023-10-06,7:3

38,2023-10-06,2:28

39,2023-10-06,22:46

40,2023-10-06,18:54

41,2023-10-06,16:52

42,2023-10-06,16:28

43,2023-10-06,2:33

44,2023-10-06,11:48

45,2023-10-06,13:25

46,2023-10-06,13:22

47,2023-10-06,1:37

48,2023-10-06,14:50

49,2023-10-06,7:24

50,2023-10-06,3:32

51,2023-10-06,10:45

52,2023-10-06,16:49

53,2023-10-06,21:55

54,2023-10-06,6:39

55,2023-10-06,6:39

56,2023-10-06,21:7

57,2023-10-06,15:7

58,2023-10-06,13:60

59,2023-10-06,20:34

60,2023-10-06,14:43

61,2023-10-06,11:43

62,2023-10-06,18:26

63,2023-10-06,21:22

64,2023-10-06,23:5

65,2023-10-06,21:36

66,2023-10-06,11:45

67,2023-10-06,22:14

68,2023-10-06,18:44

69,2023-10-06,18:29

70,2023-10-06,12:25

71,2023-10-06,19:54

72,2023-10-06,2:48

73,2023-10-06,19:12

74,2023-10-06,11:50

75,2023-10-06,21:58

76,2023-10-06,11:35

77,2023-10-06,8:20

78,2023-10-06,9:20

79,2023-10-06,3:41

80,2023-10-06,9:34

81,2023-10-06,13:18

82,2023-10-06,8:35

83,2023-10-06,11:40

84,2023-10-06,7:45

85,2023-10-06,2:54

86,2023-10-06,10:20

87,2023-10-06,5:25

88,2023-10-06,15:20

89,2023-10-06,2:12

90,2023-10-06,23:24

91,2023-10-06,1:18

92,2023-10-06,17:21

93,2023-10-06,4:44

94,2023-10-06,10:2

95,2023-10-06,4:7

96,2023-10-06,19:5

97,2023-10-06,8:45

98,2023-10-06,4:14

99,2023-10-06,23:19

100,2023-10-06,22:0

101,2023-10-06,10:2

102,2023-10-06,3:42

103,2023-10-06,8:1

104,2023-10-06,18:36

105,2023-10-06,10:26

106,2023-10-06,6:58

107,2023-10-06,11:21

108,2023-10-06,1:51

109,2023-10-06,21:18

110,2023-10-06,13:33

111,2023-10-06,2:54

112,2023-10-06,15:59

113,2023-10-06,18:56

114,2023-10-06,23:30

115,2023-10-06,11:38

116,2023-10-06,14:31

117,2023-10-06,1:12

118,2023-10-06,7:32

119,2023-10-06,16:56

120,2023-10-06,2:25

121,2023-10-06,2:29

122,2023-10-06,11:50

123,2023-10-06,13:26

124,2023-10-06,7:14

125,2023-10-06,20:2

126,2023-10-06,23:36

127,2023-10-06,8:32

128,2023-10-06,21:59

129,2023-10-06,12:47

130,2023-10-06,5:13

131,2023-10-06,2:36

132,2023-10-06,6:26

133,2023-10-06,4:49

134,2023-10-06,20:4

135,2023-10-06,18:56

136,2023-10-06,6:55

137,2023-10-06,14:35

138,2023-10-06,7:47

139,2023-10-06,3:38

140,2023-10-06,10:49

141,2023-10-06,3:15

142,2023-10-06,0:0

143,2023-10-06,11:42

144,2023-10-06,20:51

145,2023-10-06,0:47

146,2023-10-06,3:23

147,2023-10-06,23:6

148,2023-10-06,2:47

149,2023-10-06,18:2

150,2023-10-06,16:48

151,2023-10-06,1:51

152,2023-10-06,22:43

153,2023-10-06,20:1

154,2023-10-06,10:3

155,2023-10-06,9:5

156,2023-10-06,12:0

157,2023-10-06,17:25

158,2023-10-06,9:20

159,2023-10-06,3:9

160,2023-10-06,14:25

161,2023-10-06,3:32

162,2023-10-06,7:12

163,2023-10-06,9:27

164,2023-10-06,14:18

165,2023-10-06,10:29

166,2023-10-06,20:59

167,2023-10-06,12:7

168,2023-10-06,5:57

169,2023-10-06,4:41

170,2023-10-06,5:2

171,2023-10-06,21:1

172,2023-10-06,2:1

173,2023-10-06,14:32

174,2023-10-06,21:54

175,2023-10-06,3:40

176,2023-10-06,2:4

177,2023-10-06,22:27

178,2023-10-06,10:42

179,2023-10-06,19:31

180,2023-10-06,3:42

181,2023-10-06,13:23

182,2023-10-06,23:32

183,2023-10-06,3:25

184,2023-10-06,18:46

185,2023-10-06,16:8

186,2023-10-06,1:57

187,2023-10-06,13:42

188,2023-10-06,16:20

189,2023-10-06,12:54

190,2023-10-06,6:13

191,2023-10-06,17:51

192,2023-10-06,22:8

193,2023-10-06,15:53

194,2023-10-06,21:30

195,2023-10-06,23:50

196,2023-10-06,23:55

197,2023-10-06,16:40

198,2023-10-06,1:14

199,2023-10-06,3:58

200,2023-10-06,20:16

201,2023-10-06,18:35

202,2023-10-06,20:43

203,2023-10-06,16:8

204,2023-10-06,7:13

205,2023-10-06,23:60

206,2023-10-06,3:46

207,2023-10-06,15:34

208,2023-10-06,6:30

209,2023-10-06,0:3

210,2023-10-06,2:44

211,2023-10-06,17:30

212,2023-10-06,4:34

213,2023-10-06,16:45

214,2023-10-06,8:35

215,2023-10-06,14:30

216,2023-10-06,7:3

217,2023-10-06,19:37

218,2023-10-06,21:6

219,2023-10-06,19:31

220,2023-10-06,9:30

221,2023-10-06,12:27

222,2023-10-06,21:57

223,2023-10-06,16:22

224,2023-10-06,15:44

225,2023-10-06,14:28

226,2023-10-06,7:6

227,2023-10-06,20:12

228,2023-10-06,0:20

229,2023-10-06,2:20

230,2023-10-06,19:37

231,2023-10-06,5:42

232,2023-10-06,14:5

233,2023-10-06,20:15

234,2023-10-06,5:54

235,2023-10-06,19:51

236,2023-10-06,5:54

237,2023-10-06,20:9

238,2023-10-06,10:1

239,2023-10-06,17:57

240,2023-10-06,6:53

241,2023-10-06,6:44

242,2023-10-06,8:40

243,2023-10-06,22:11

244,2023-10-06,0:40

245,2023-10-06,2:45

246,2023-10-06,13:57

247,2023-10-06,16:52

248,2023-10-06,17:21

249,2023-10-06,8:2

250,2023-10-06,17:20

251,2023-10-06,15:0

252,2023-10-06,12:36

253,2023-10-06,5:54

254,2023-10-06,12:10

255,2023-10-06,16:59

256,2023-10-06,21:20

257,2023-10-06,2:51

258,2023-10-06,0:42

259,2023-10-06,9:30

260,2023-10-06,15:32

261,2023-10-06,23:23

262,2023-10-06,7:29

263,2023-10-06,22:27

264,2023-10-06,0:56

265,2023-10-06,6:41

266,2023-10-06,6:48

267,2023-10-06,16:24

268,2023-10-06,22:21

269,2023-10-06,23:37

270,2023-10-06,3:12

271,2023-10-06,2:59

272,2023-10-06,20:4

273,2023-10-06,10:19

274,2023-10-06,21:14

275,2023-10-06,8:55

276,2023-10-06,8:12

277,2023-10-06,10:54

278,2023-10-06,23:28

279,2023-10-06,20:24

280,2023-10-06,23:15

281,2023-10-06,16:22

282,2023-10-06,1:28

283,2023-10-06,20:8

284,2023-10-06,11:52

285,2023-10-06,13:41

286,2023-10-06,8:23

287,2023-10-06,0:23

288,2023-10-06,18:27

289,2023-10-06,16:18

290,2023-10-06,10:23

291,2023-10-06,7:35

292,2023-10-06,9:47

293,2023-10-06,15:27

294,2023-10-06,9:34

295,2023-10-06,13:9

296,2023-10-06,8:30

297,2023-10-06,21:11

298,2023-10-06,22:47

299,2023-10-06,6:42

300,2023-10-06,0:6

301,2023-10-06,21:27

302,2023-10-06,5:42

303,2023-10-06,22:30

304,2023-10-06,23:13

305,2023-10-06,14:27

306,2023-10-06,17:11

307,2023-10-06,21:13

308,2023-10-06,22:9

309,2023-10-06,6:32

310,2023-10-06,12:5

311,2023-10-06,5:35

312,2023-10-06,22:15

313,2023-10-06,3:34

314,2023-10-06,8:60

315,2023-10-06,0:35

316,2023-10-06,14:23

317,2023-10-06,13:22

318,2023-10-06,21:46

319,2023-10-06,12:11

320,2023-10-06,14:6

321,2023-10-06,4:24

322,2023-10-06,0:20

323,2023-10-06,13:60

324,2023-10-06,5:34

325,2023-10-06,16:10

326,2023-10-06,17:54

327,2023-10-06,21:31

328,2023-10-06,1:11

329,2023-10-06,10:30

330,2023-10-06,11:42

331,2023-10-06,16:42

332,2023-10-06,0:32

333,2023-10-06,17:49

334,2023-10-06,16:47

335,2023-10-06,19:12

336,2023-10-06,18:53

337,2023-10-06,14:25

338,2023-10-06,17:2

339,2023-10-06,13:44

340,2023-10-06,15:14

341,2023-10-06,22:40

342,2023-10-06,5:58

343,2023-10-06,5:1

344,2023-10-06,4:32

345,2023-10-06,10:2

346,2023-10-06,3:56

347,2023-10-06,4:51

348,2023-10-06,23:23

349,2023-10-06,19:37

350,2023-10-06,16:46

351,2023-10-06,0:44

352,2023-10-06,6:18

353,2023-10-06,4:37

354,2023-10-06,0:54

355,2023-10-06,1:45

356,2023-10-06,3:35

357,2023-10-06,0:60

358,2023-10-06,21:9

359,2023-10-06,15:23

360,2023-10-06,6:48

361,2023-10-06,10:50

362,2023-10-06,15:47

363,2023-10-06,18:3

364,2023-10-06,2:52

365,2023-10-06,4:11

366,2023-10-06,4:22

367,2023-10-06,17:6

368,2023-10-06,2:54

369,2023-10-06,16:58

370,2023-10-06,6:59

371,2023-10-06,3:8

372,2023-10-06,1:33

373,2023-10-06,4:19

374,2023-10-06,16:3

375,2023-10-06,21:46

376,2023-10-06,9:8

377,2023-10-06,0:29

378,2023-10-06,8:16

379,2023-10-06,5:30

380,2023-10-06,19:55

381,2023-10-06,4:23

382,2023-10-06,16:27

383,2023-10-06,19:54

384,2023-10-06,11:2

385,2023-10-06,0:35

386,2023-10-06,19:18

387,2023-10-06,8:34

388,2023-10-06,11:14

389,2023-10-06,11:18

390,2023-10-06,21:47

391,2023-10-06,12:38

392,2023-10-06,13:47

393,2023-10-06,7:38

394,2023-10-06,16:42

395,2023-10-06,1:36

396,2023-10-06,5:31

397,2023-10-06,19:30

398,2023-10-06,2:8

399,2023-10-06,22:32

400,2023-10-06,12:8

401,2023-10-06,6:32

402,2023-10-06,13:54

403,2023-10-06,22:37

404,2023-10-06,4:45

405,2023-10-06,2:24

406,2023-10-06,15:30

407,2023-10-06,1:58

408,2023-10-06,10:31

409,2023-10-06,6:25

410,2023-10-06,18:40

411,2023-10-06,13:24

412,2023-10-06,1:33

413,2023-10-06,7:58

414,2023-10-06,16:25

415,2023-10-06,22:57

416,2023-10-06,18:35

417,2023-10-06,9:19

418,2023-10-06,11:48

419,2023-10-06,19:58

420,2023-10-06,18:4

421,2023-10-06,19:0

422,2023-10-06,9:31

423,2023-10-06,17:34

424,2023-10-06,16:52

425,2023-10-06,15:23

426,2023-10-06,2:51

427,2023-10-06,4:47

428,2023-10-06,12:40

429,2023-10-06,19:25

430,2023-10-06,13:49

431,2023-10-06,18:46

432,2023-10-06,4:39

433,2023-10-06,13:43

434,2023-10-06,4:18

435,2023-10-06,2:47

436,2023-10-06,12:51

437,2023-10-06,7:43

438,2023-10-06,7:0

439,2023-10-06,8:47

440,2023-10-06,11:0

